iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
GRC	Europe	Greece	2021-07-24	474366.0	2472.0	2658.857	12866.0	8.0	7.143	45511.221	237.167	255.094	1234.379	0.768	0.685																			10160738.0	5598628.0	4881022.0	67543.0	63272.0	97.48	53.71	46.83	6070.0		10423056.0	83.479	45.3	20.396	14.524	24574.382	1.5	175.695	4.55	35.3	52.0		4.21	82.24	0.888	
GRD	North America	Grenada	2021-07-24	164.0	0.0	0.429	1.0	0.0	0.0	1457.532	0.0	3.809	8.887	0.0	0.0																													112519.0	317.132	29.4	7.304	5.021	13593.877		243.964	10.71				3.7	72.4	0.779	
GTM	North America	Guatemala	2021-07-24	350816.0	6595.0	2527.143	10093.0	64.0	27.857	19581.63	368.116	141.058	563.365	3.572	1.555																													17915567.0	157.834	22.9	4.694	3.016	7423.808	8.7	155.898	10.18			76.665	0.6	74.3	0.663	
GIN	Africa	Guinea	2021-07-24	24993.0	170.0	69.143	198.0	3.0	1.714	1903.099	12.945	5.265	15.077	0.228	0.131																													13132792.0	51.755	19.0	3.135	1.733	1998.926	35.3	336.717	2.42			17.45	0.3	61.6	0.477	
GNB	Africa	Guinea-Bissau	2021-07-24	4208.0	60.0	23.429	74.0	0.0	0.286	2138.214	30.488	11.905	37.602	0.0	0.145																													1967998.0	66.191	19.4	3.002	1.565	1548.675	67.1	382.474	2.42			6.403		58.32	0.48	
GUY	South America	Guyana	2021-07-24	22090.0	357.0	88.429	523.0	8.0	2.0	28084.352	453.876	112.425	664.922	10.171	2.543																													786559.0	3.952	26.3	5.305	2.837	7435.047		373.159	11.62			77.159	1.6	69.91	0.682	
HTI	North America	Haiti	2021-07-24	19762.0	0.0	55.429	523.0	0.0	5.143	1733.124	0.0	4.861	45.867	0.0	0.451																													11402533.0	398.448	24.3	4.8	2.954	1653.173	23.5	430.548	6.65	2.9	23.1	22.863	0.7	64.0	0.51	
HND	North America	Honduras	2021-07-24	286635.0	1260.0	1237.286	7594.0	36.0	29.0	28939.56	127.214	124.92	766.714	3.635	2.928																													9904608.0	82.805	24.9	4.652	2.883	4541.795	16.0	240.208	7.21	2.0		84.169	0.7	75.27	0.634	
HKG	Asia	Hong Kong	2021-07-24	11975.0	2.0	2.714	212.0	0.0	0.0	1597.308	0.267	0.362	28.278	0.0	0.0																			5213984.0	3006723.0	2207261.0	64443.0	63213.0	69.55	40.11	29.44	8432.0		7496988.0	7039.714	44.8	16.303	10.158	56054.92			8.33					84.86	0.949	
HUN	Europe	Hungary	2021-07-24	809101.0	0.0	53.714	30020.0	0.0	0.714	83754.833	0.0	5.56	3107.548	0.0	0.074																													9660350.0	108.043	43.4	18.577	11.976	26777.561	0.5	278.296	7.55	26.8	34.8		7.02	76.88	0.854	
ISL	Europe	Iceland	2021-07-24	7148.0	94.0	61.429	30.0	0.0	0.0	20946.52	275.458	180.01	87.912	0.0	0.0																													341250.0	3.404	37.3	14.431	9.207	46482.958	0.2	117.992	5.31	14.3	15.2		2.91	82.99	0.949	
IND	Asia	India	2021-07-24	31371901.0	78839.0	37976.571	420551.0	1081.0	991.714	22733.189	57.13	27.519	304.746	0.783	0.719																			433150864.0	340387695.0	92763169.0	5268603.0	4031307.0	31.39	24.67	6.72	2921.0		1380004385.0	450.419	28.2	5.989	3.414	6426.674	21.2	282.28	10.39	1.9	20.6	59.55	0.53	69.66	0.645	
IDN	Asia	Indonesia	2021-07-24	3127826.0	45416.0	42153.0	82013.0	1415.0	1360.571	11435.305	166.041	154.111	299.839	5.173	4.974																			61583922.0	44107926.0	17475996.0	397926.0	585349.0	22.52	16.13	6.39	2140.0		273523621.0	145.725	29.3	5.319	3.053	11188.744	5.7	342.864	6.32	2.8	76.1	64.204	1.04	71.72	0.718	
IRN	Asia	Iran	2021-07-24	3664286.0	18632.0	23315.286	88532.0	259.0	223.714	43626.112	221.828	277.586	1054.041	3.084	2.663																													83992953.0	49.831	32.4	5.44	3.182	19082.62	0.2	270.308	9.59	0.8	21.1		1.5	76.68	0.783	
IRQ	Asia	Iraq	2021-07-24	1543501.0	7653.0	8641.0	18232.0	65.0	63.286	38374.066	190.267	214.83	453.279	1.616	1.573																													40222503.0	88.125	20.0	3.186	1.957	15663.986	2.5	218.612	8.83			94.576	1.4	70.6	0.674	
IRL	Europe	Ireland	2021-07-24	291870.0	1345.0	1219.857	5026.0	0.0	1.143	59109.368	272.389	247.045	1017.863	0.0	0.231																													4937796.0	69.874	38.7	13.928	8.678	67335.293	0.2	126.459	3.28	23.0	25.7		2.96	82.3	0.955	
ISR	Asia	Israel	2021-07-24	859398.0	1421.0	1204.286	6458.0	1.0	1.714	99288.768	164.172	139.135	746.112	0.116	0.198																			11050142.0	5757553.0	5292589.0	1957.0	11659.0	127.67	66.52	61.15	1347.0		8655541.0	402.606	30.6	11.733	7.359	33132.32	0.5	93.32	6.74	15.4	35.4		2.99	82.97	0.919	
